Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.67245986027589,152.453452021453,A,left,0.028362299301379453,1,0,0,0,0,,,,,19.585301199927926,23.5899175000377,24.074015300022438,28.07842530007474,28.57892100000754,32.58398219989613,15.58108579996042,19.585301199927926,33.08473929995671,None,right,0,1.7741826998535544,37.28948749997653,None,37.189608900109306,None,39.09143909998238,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.80210572350653,99.4292669698824,B,right,0.03401052861753265,2,0,1,1,1,,,,,,,,,,,,,,,right,1,1.2987490999512374,40.27615910000168,None,40.176093799993396,None,41.598904999904335,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.67941475951967,151.666501561788,A,left,0.02839707379759835,3,0,2,2,2,,,,,,,,,,,,,,,right,0,1.1715909999329597,42.79553460003808,None,42.6953851999715,None,43.99811269994825,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.65585269156395,151.419628283771,A,left,0.028279263457819753,4,0,3,3,3,,,,,,,,,,,,,,,right,0,0.5690476999152452,45.18180479994044,None,45.08176720002666,None,45.78246119990945,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.75538637723267,153.504117723871,A,left,0.02877693188616335,5,0,4,4,4,,,,,,,,,,,,,,,right,0,0.5119457999244332,46.967187399975955,None,46.86709029995836,None,47.501209599897265,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.7508286515016,154.083947047562,A,left,0.028754143257507997,6,0,5,5,5,,,,,,,,,,,,,,,left,1,0.6170280000660568,48.68574759992771,None,48.58577169990167,None,49.31986639997922,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.67564343832945,154.059955397458,A,left,0.02837821719164725,7,0,6,6,6,,,,,,,,,,,,,,,left,1,0.5263862998690456,50.50464840000495,None,50.40437599993311,None,51.055039200000465,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.7567322056875,99.1628345215938,B,right,0.0337836610284375,8,0,7,7,7,,,,,,,,,,,,,,,right,1,1.062954899854958,52.240245500113815,None,52.139776499941945,None,53.32432519993745,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.83077650682998,95.6372159808997,B,right,0.0341538825341499,9,0,8,8,8,,,,,,,,,,,,,,,left,0,0.7856533997692168,54.50940220011398,None,54.409594000084326,None,55.32683310005814,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.8527873210936,96.309129997751,B,right,0.034263936605468,10,0,9,9,9,,,,,,,,,,,,,,,left,0,0.6795369999017566,56.511475699953735,None,56.41135860001668,None,57.21271080011502,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.71255945233368,151.627061988579,A,left,0.028562797261668396,11,0,10,10,10,,,,,,,,,,,,,,,right,0,0.7380146000068635,58.3968589999713,None,58.296758899930865,None,59.16469249990769,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.68883013475899,149.520138400531,A,left,0.028444150673794952,12,0,11,11,11,,,,,,,,,,,,,,,right,0,0.47338219988159835,60.34923760010861,None,60.24933240003884,None,60.84985739993863,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.77060987577728,100.769354151297,B,right,0.033853049378886405,13,0,12,12,12,,,,,,,,,,,,,,,left,0,0.6521566000301391,62.03468529996462,None,61.935501999920234,None,62.7187010999769,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.72929173891045,152.547911440747,A,left,0.02864645869455225,14,0,13,13,13,,,,,,,,,,,,,,,right,0,0.7999264998361468,63.90326509997249,None,63.80300449999049,None,64.7210766999051,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.79560461389336,95.6732342354127,B,right,0.0339780230694668,15,0,14,14,14,,,,,,,,,,,,,,,right,1,0.7975532996933907,65.9056516001001,None,65.80634350003675,None,66.72329550003633,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.78987259286191,97.6463219968677,B,right,0.033949362964309546,16,0,15,15,15,,,,,,,,,,,,,,,left,0,0.45874910010024905,67.90779950004071,None,67.8078274000436,None,68.39687149995007,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.7937359242632,98.7564149697548,B,right,0.033968679621316,17,0,16,16,16,,,,,,,,,,,,,,,left,0,0.5975318998098373,69.5929225999862,None,69.49277579993941,None,70.21041080006398,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
5.61469086173203,156.117241799383,A,left,0.02807345430866015,18,0,17,17,17,,,,,,,,,,,,,,,right,0,0.5718496998306364,71.39503900008276,None,71.29515899997205,None,71.9958375999704,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.77111532989552,94.9967013950831,B,right,0.0338555766494776,19,0,18,18,18,,,,,,,,,,,,,,,left,0,1.4259731997735798,73.18081240006723,None,73.0808790998999,None,74.6324340000283,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
6.79057937792502,96.2591992028893,B,right,0.0339528968896251,20,0,19,19,19,,,,,,,,,,,,,,,left,0,0.6694351998157799,75.81716289999895,None,75.71722569991834,None,76.51784120011143,None,,,,,,,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.03748820000328,None,space,1.0927263998892158,78.53852430009283,None,Antonella,001,2022-09-01_16h56.12.091,PruebaGabor2,2022.1.3,59.93407246482796,
